type,key,mdate,publtype,reviewid,rating,cdate,author,editor,title,booktitle,pages,year,address,journal,volume,number,month,url,ee,cdrom,cite,publisher,note,crossref,isbn,series,school,chapter,publnr,stream,rel,aux,label,type_attr,href,orcid,bibtex,ref,sort,uri
incollection,reference/vision/Vernon14a,2017-07-12,encyclopedia,,,,David Vernon,,Cognitive Vision.,"Computer Vision, A Reference Guide",106-109,2014,,,,,,db/reference/vision/vision2014.html#Vernon14a,https://doi.org/10.1007/978-0-387-31439-6_83,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14jc,2017-07-12,encyclopedia,,,,,,Two Dimensional Conditional Random Fields.,"Computer Vision, A Reference Guide",829,2014,,,,,,db/reference/vision/vision2014.html#X14jc,https://doi.org/10.1007/978-0-387-31439-6_100234,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gq,2017-07-12,encyclopedia,,,,,,PTZ Camera Calibration.,"Computer Vision, A Reference Guide",654,2014,,,,,,db/reference/vision/vision2014.html#X14gq,https://doi.org/10.1007/978-0-387-31439-6_100084,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Wu14,2017-07-12,encyclopedia,,,,Ying Nian Wu,,Cross Entropy.,"Computer Vision, A Reference Guide",154,2014,,,,,,db/reference/vision/vision2014.html#Wu14,https://doi.org/10.1007/978-0-387-31439-6_743,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/RamanathD14a,2017-07-12,encyclopedia,,,,Rajeev Ramanath; Mark S. Drew,,Color Spaces.,"Computer Vision, A Reference Guide",123-132,2014,,,,,,db/reference/vision/vision2014.html#RamanathD14a,https://doi.org/10.1007/978-0-387-31439-6_452,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Tan14d,2017-07-12,encyclopedia,,,,Robby T. Tan,,"Specularity, Specular Reflectance.","Computer Vision, A Reference Guide",750-752,2014,,,,,,db/reference/vision/vision2014.html#Tan14d,https://doi.org/10.1007/978-0-387-31439-6_538,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14di,2017-07-12,encyclopedia,,,,,,Inexact Matching.,"Computer Vision, A Reference Guide",401,2014,,,,,,db/reference/vision/vision2014.html#X14di,https://doi.org/10.1007/978-0-387-31439-6_100287,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14dn,2017-07-12,encyclopedia,,,,,,Intrinsic Parameters.,"Computer Vision, A Reference Guide",426,2014,,,,,,db/reference/vision/vision2014.html#X14dn,https://doi.org/10.1007/978-0-387-31439-6_100023,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14du,2017-07-12,encyclopedia,,,,,,Kinematic Chain Motion Models.,"Computer Vision, A Reference Guide",437,2014,,,,,,db/reference/vision/vision2014.html#X14du,https://doi.org/10.1007/978-0-387-31439-6_100212,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14bz,2017-07-12,encyclopedia,,,,,,Ellipse Matching.,"Computer Vision, A Reference Guide",247,2014,,,,,,db/reference/vision/vision2014.html#X14bz,https://doi.org/10.1007/978-0-387-31439-6_100095,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Lindeberg14,2017-07-12,encyclopedia,,,,Tony Lindeberg,,Scale Selection.,"Computer Vision, A Reference Guide",701-713,2014,,,,,,db/reference/vision/vision2014.html#Lindeberg14,https://doi.org/10.1007/978-0-387-31439-6_242,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Vernon14b,2017-07-12,encyclopedia,,,,David Vernon,,Visual Cognition.,"Computer Vision, A Reference Guide",860-862,2014,,,,,,db/reference/vision/vision2014.html#Vernon14b,https://doi.org/10.1007/978-0-387-31439-6_785,,,,,,,,,,,,,,,,,,,,,
